,Country,gdp,
1,Afghanistan,364.3205926,
2,Albania,3154.976915,
3,Algeria,3523.319113,
4,Andorra,36208.25623,
5,Angola,2732.684755,
7,Antigua and Barbuda,13047.57074,
8,Argentina,9499.057367,
9,Armenia,2603.25766,
12,Australia,44235.12483,
13,Austria,40605.14598,
14,Azerbaijan,3624.876958,
15,Bahamas,29235.05441,
16,Bahrain,19090.55394,
17,Bangladesh,781.8911943,
18,Barbados,14748.71561,
19,Belarus,4465.96389,
20,Belgium,37980.05181,
21,Belize,4099.779,
22,Benin,766.5452871,
24,Bhutan,1866.738986,
25,Bolivia,1927.757506,
26,Bosnia and Herzegovina,3746.12991,
27,Botswana,5706.298728,
28,Brazil,7486.232099,
30,Brunei ,29932.72612,
31,Bulgaria,5405.194845,
32,Burkina Faso,547.6716197,
33,Burundi,194.6963402,
35,Cabo Verde,2751.179955,
36,Cambodia,758.051653,
37,Cameroon,1137.836398,
38,Canada,38499.80179,
41,Central African Republic,390.8464346,
44,Chad,650.1036546,
45,Chile,10284.40468,
,China,85184.19,
49,Colombia,4935.484637,
50,Comoros,1213.861497,
51,Congo,2131.795642,
53,Costa Rica,7293.841381,
34,Cote d'Ivoire,1311.400623,
54,Croatia,10918.41658,
55,Cuba,5295.664615,
57,Cyprus,24513.65188,
58,Czech Republic,15432.01984,
60,Democratic Republic of the Congo,329.226616,
61,Denmark,50122.63624,
62,Djibouti,1579.469202,
63,Dominica,6180.940002,
64,Dominican Republic,4882.874325,
68,Ecuador,4089.627654,
69,Egypt,2068.717711,
70,El Salvador,2885.785411,
71,Equatorial Guinea,11116.37454,
72,Eritrea,464.2762455,
73,Estonia,13354.17523,
110,Eswatini,3124.87097,Swaziland
74,Ethiopia,345.2713189,
76,Fiji,3978.498576,
77,Finland,40390.08423,
80,France,35274.64956,
82,Gabon,7135.796413,
83,Gambia,786.4338442,
84,Georgia,2554.569249,
85,Germany,37769.22104,
86,Ghana,1438.095789,
87,Greece,20419.89748,
89,Grenada,7001.750293,
90,Guatemala,2674.513892,
91,Guinea,663.0369752,
92,Guinea-Bissau,514.0639602,
93,Guyana,3815.651896,
94,Haiti,600.9817292,
95,Honduras,1702.788581,
96,Hungary,11208.07519,
97,Iceland,49110.95185,
98,India,1103.443064,
99,Indonesia,2329.537561,
100,Iran,4525.521238,
101,Iraq,3490.531988,
102,Ireland,49993.05961,
103,Israel,29770.52993,
104,Italy,30869.86716,
105,Jamaica,4364.414028,
106,Japan,38033.92452,
107,Jordan,3038.299726,
108,Kazakhstan,6580.198505,
109,Kenya,922.3518224,
111,Kiribati,1312.158229,
112,Kosovo,2804.191039,
113,Kuwait,32717.48227,
114,Kyrgyzstan,790.8937792,
115,Laos ,1159.043369,
117,Latvia,10406.89712,
118,Lebanon,6146.072841,
119,Lesotho,852.6730936,
120,Liberia,345.5621013,
121,Libya,7453.299761,
122,Liechtenstein,135433.6581,
123,Lithuania,10641.78568,
124,Luxembourg,88935.06916,
175,Macedonia,3861.612702,
125,Madagascar,418.5996057,
126,Malawi,349.236301,
127,Malaysia,7526.79055,
128,Maldives,6065.325601,
129,Mali,599.5495564,
130,Malta,19503.84848,
131,Marshall Islands,2846.236635,
132,Mauritania,1278.405927,
133,Mauritius,7216.160124,
135,Mexico,8578.325059,
136,Micronesia,2884.718315,
174,Moldova,1437.105034,
139,Monaco,140806.5836,
140,Mongolia,2315.136963,
141,Montenegro,5114.656488,
143,Morocco,2424.687634,
144,Mozambique,458.1955393,
145,Myanmar,716.9721303,
146,Namibia,3999.963146,
147,Nauru,6333.881201,
148,Nepal,514.0766451,
149,Netherlands,43251.21575,
151,New Zealand,30084.16926,
152,Nicaragua,1456.810044,
153,Niger,398.3358549,
154,Nigeria,1709.074589,
59,North Korea,566.8206606,North Korea
158,Norway,69693.42204,
160,Oman,14199.74628,
161,Pakistan,922.8004691,
162,Palau,11040.05879,
205,Palestine,2143.259494,
163,Panama,8241.532264,
164,Papua New Guinea,1785.071742,
165,Paraguay,3635.478729,
166,Peru,4294.062223,
167,Philippines,1922.651426,
168,Poland,10036.98484,
170,Portugal,18807.95124,
172,Qatar,54841.27388,
176,Romania,6693.96899,
177,Russia,7995.304272,
178,Rwanda,511.6001848,
179,Saint Kitts and Nevis,14229.12657,
180,Saint Lucia,8091.839736,
181,Saint Vincent and the Grenadines,5628.261245,
182,Samoa,3004.752156,
183,San Marino,56997.67589,
184,Sao Tome and Principe,1102.186412,
185,Saudi Arabia,16458.50112,
186,Senegal,1112.771202,
187,Serbia,4746.98106,
188,Seychelles,11690.53874,
189,Sierra Leone,399.2553455,
190,Singapore,40938.35313,
192,Slovakia,12411.34656,
193,Slovenia,19501.1099,
194,Solomon Islands,1310.998924,
195,Somalia,155.7048174,
197,South Africa,5265.873192,
173,South Korea,21308.5137,South Korea
,South Sudan,990.428,
203,Spain,25247.45457,
204,Sri Lanka,2380.186756,
,Sudan,1778.03,
208,Suriname,5579.786533,
209,Sweden,46295.6748,
210,Switzerland,66866.6799,
211,Syria,1549.641806,
212,Tajikistan,579.6069512,
228,Tanzania,1277.47,
213,Thailand,4269.449279,
214,Timor-Leste,806.1439005,
215,Togo,551.3884403,
216,Tonga,3218.750341,
217,Trinidad and Tobago,13607.86999,
218,Tunisia,3357.778153,
219,Turkey,8268.469435,
220,Turkmenistan,4205.906388,
222,Tuvalu,2644.824863,
223,Uganda,517.0702565,
224,Ukraine,2270.450332,
225,United Arab Emirates,37433.38752,
226,United Kingdom,38615.03384,Great Britain and Northern Ireland
229,United States,47282.92201,
230,Uruguay,10476.9725,
231,Uzbekistan,1350.888152,
232,Vanuatu,2358.881691,
233,Venezuela,7851.286273,
234,Vietnam,1240.223655,
239,Yemen,939.9283301,
240,Zambia,1049.244039,
241,Zimbabwe,1002.219737,
