Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Program Name,Goal Statement,Goal ,Headquarters Continent,Program Headquarters Type,Data Collection Continent,Start Year,End Year,Data Scale,Data Collection Ecosystem,Taxa,Invasive,Functional Trait,Genetic Trait,Data Verifiable,Verification Mechanism,Data Readily Available,Sample Standardized,Cummulative Participants,Cummulative Years,Number of Participants in Most Recent Year,Most Recent Year,Participant Identity,Data Collection Training,Data Collection Training Method,Data Collection Training Method Code,Identifican Training,Identification Training Method,Identification Expert Contact,Papers Published,Knowledge Assessed Post-Experience,Assessment Method,Program Website,Database,Date Information Collected
Adams County Lake and Stream Monitoring ,To monitor water quality ,Data,North America,Government,North America,1992,Ongoing,<100 km,Freshwater,"Plants, macroinvertebrates",Some,NA,NA,Unknown,NA,Some,Some,Unknown,Unknown,38,2010,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.adamscountylwcd.net/,EPA,2012-04-11
Addison County River Watch Collaborative ,"To monitor and assess the condition and uses of our local rivers, creeks, and streams over time

2  To raise public awareness of and commitment to the ecological, economic, and social values and functions of our local rivers, creeks, and streams

3  To support and praise actions by landowners that improve the health and quality of our local rivers, creeks, and streams",Both,North America,"Government, NGO",North America,1997,Ongoing,<100 km,Freshwater,E. coli,No,NA,NA,Some,Specimen collection,Some,None,Unknown,Unknown,45,2005,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.acrpc.org/pages/activities/watershed/acrwc.htm,EPA,2012-04-13
Adirondack All-Taxa Biodiversity Inventory,"The Adirondack All-Taxa Biodiversity Inventory is a biological information-gathering process dependent upon and supported by the citizens of the Adirondacks It acknowledges the interdependence between stakeholders and the biological community within which they live, work, and recreate Citizens and scientists from the Adirondacks and elsewhere are working together to learn about the biodiversity found in the largest wilderness in the continental USA ",Both,North America,Academic,North America,2007,Ongoing,<100 km,"Terrestrial, freshwater","Protozoa, bird, plants, mammals, fish, amphibians, reptiles, lepidoptera, dragonflies, damselflies, aquatic invertebrates",No,NA,NA,Unknown,NA,Some,Unknown,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,work with scientists,in-person,Yes,Work with scientists,in-person,0,Unknown,NA,http://www.paulsmiths.edu/ATBI/index.php,Cornell Citizen Science Central,2012-04-26
Adopt-a-Lake ,The Orange County Environmental Protection Division (EPD) works with citizens concerned about the health of local lakes to take an active role in water quality monitoring thorough the Adopt-A-Lake program (AAL),Data,North America,Government,North America,1993,Ongoing,<100 km,Freshwater,"Bacteria, algae",No,NA,NA,All,Specimen collection,Unknown,All,Unknown,Unknown,35,2002,Anyone interested,Yes,online instructions,electronic,No,NA,NA,0,Unknown,NA,http://www.orangecountyfl.net/?tabid=2600,EPA,2012-03-30
"Adopt-a-Shoreline Program, Invasive plant monitoring ",Provides a search and report method to document aquatic invasive plants in the Adirondack Park,Data,North America,Unknown,North America,Unknown,Ongoing,<1000 km,Freshwater,Aquatic plants,Yes,NA,NA,None,NA,None,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,in-person and online,combo,Yes,hard copy - on datasheet and at in-person training,combo,0,Unknown,NA,http://www.adkinvasives.com/aquatic/program/volunteer.html,EPA,2012-04-13
Adopt-a-Stream Mississippi ,"To involve citizens, like you, in stream stewardship and water quality monitoring The common theme of the Adopt-A-Stream program is caring for and learning to conserve our water resources",Both,North America,"NGO, Government",North America,1994,Ongoing,<1000 km,Freshwater,Macroinvertebrates,No,NA,NA,Unknown,NA,Some,Unknown,Unknown,Unknown,35,2009,Anyone interested,Yes,in-person,in-person,Yes,in-person,in-person,0,Unknown,NA,http://www.mswildlife.org/AAS/,EPA,2012-04-13
Alabama Water Watch ,"To educate citizens of Alabama and shared watersheds of neighboring states about water issues, train them to measure water quality, and work with citizens to improve environmental quality and policy ",Both,North America,Academic,North America,1993,Ongoing,Unknown,Freshwater,"Bacteria, macroinvertebrates",No,NA,NA,Unknown,NA,Some,Unknown,Unknown,Unknown,360,2009,Anyone interested,Yes,workshop,in-person,Yes,workshops,in-person,1,Unknown,NA,http://www.alabamawaterwatch.org/,EPA,2012-04-11
Alliance for the Chesapeake Bay (Rivertrends),"To provide technical support and training to volunteers, who in turn gather high-quality data for use by VA DEQ, watershed organizations, localities, and other stakeholders ",Both,North America,NGO,North America,1985,Ongoing,<1000 km,"Freshwater, estuarine","E. coli, algae, macroinvertebrates",No,chlorophyll a concentration,NA,Some,,Some,All,400,15,60,2009,Anyone interested,Yes,in-person & online materials,combo,Yes,in-person & online materials,combo,0,Unknown,NA,https://allianceforthebay.org/initiatives/connecting-people/,EPA,2012-04-13
American Kestrel Partnership,By participating in the program students will:,Both,North America,NGO,North America,2011,Ongoing,Unknown,Terrestrial,American kestral,No,NA,NA,None,NA,None,All,Unknown,Unknown,Unknown,Unknown,"Anyone interested (citizen scientists, universities, government agencies, conservation organizations, schools, and businesses)",Yes,online instruction sheet,electronic,Yes,photos & description online,electronic,0,Unknown,NA,http://www.peregrinefund.org/project-pubs/american-kestrel,Scistarter,2012-02-10
American Oystercatcher Banding,"Color banding individual birds helps researchers learn about movement, habitat requirements, and survival, but only if people observe and report the locations of banded birds",Data,North America,Academic,North America,2001,Ongoing,<10000 km,Multiple,American oystercatcher,No,NA,NA,Some,Photo,Unknown,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,internet instructions with pictures,internet instructions with pictures,Yes,electronic,electronic,0,Unknown,NA,http://www.ncsu.edu/project/grsmgis/AMOY/Banding.htm,NA,2012-01-31
American Pika Atlas,The goal of this project is to document the persistence or extirpation of American Pika throughout their range for science and conservation ,Data,North America,"Government,  NGO",North America,2011,Ongoing,<1000 km,Terrestrial,American pika,No,NA,NA,All,Photo,All,None,28,1,28,2012,Anyone interested,Unknown,NA,NA,Yes,"online links to wikipedia, photos",electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/american-pika-atlas,iNaturalist,2012-05-02
Amphibian World of Bangladesh,The Amphibian world of Bangladesh is a citizen-science effort to harness amateur observations of reptiles and amphibians to enhance our understanding of the distribution and conservation status of Bangladesh's unique fauna The project is a regional node of the Global Amphibian BioBlitz and the Global Reptile BioBlitz,Data,Asia,Unknown,Asia,2011,Ongoing,<100 km,"Terrestrial, freshwater",Amphibians,No,NA,NA,All,Photo,All,None,3,1,Unknown,Unknown,Anyone interested,No,NA,NA,Yes,photos and descriptions of some species online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/amphibian-world-of-bangladesh,iNaturalist,2012-04-26
Amphibians and Reptils of Colombia,The main goal of the Colombian Herpetological Association (Asociación Colombiana de Herpetología) and its members is research and conservation of the great diversity of amphibian and reptile species distributed in Colombia,Data,South America,NGO,South America,2012,Ongoing,<1000 km,"Terrestrial, freshwater","Amphibians, reptiles",No,NA,NA,All,Photo,All,None,50,1,Unknown,Unknown,Anyone interested,No,NA,NA,Yes,photos and descriptions of some species online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/amphibians-and-reptiles-of-colombia,iNaturalist,2012-04-26
Animals in Urbania,"We welcome all observations of animals in highly human-dominated landscapes, especially those where an animal has adapted to use a human created resource (eg birds nesting in buildings, racoons dumpster diving, or snakes sunning themselves on the road) Please be descriptive of the observed behaviour and include pictures where possible",Data,Unknown,Unknown,Global,2012,Ongoing,>10000 km,"Terrestrial, freshwater","Amphibians, reptiles, birds, mammals, mollusks, arachnids, insects",No,NA,NA,Some,Photo,All,None,21,1,21,2012,Anyone interested,No,NA,NA,Yes,photos and descriptions of some species online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/animals-in-urbania,iNaturalist,2012-04-26
Annapolis River Guardians,"To establish and support a regular observation system which will provide an early warning of environmental problems; To provide a long term record of the river's health; To develop interest in the Annapolis River and community stewardship to ensure a viable resource for future generations; and To provide a knowledgeable group of local individuals who can promote the preservation, rehabilitation, and use of these estuarine resources in the future",Both,North America,"NGO, Academic",North America,1992,Ongoing,<100 km,"Freshwater, estuarine",E. coli bacteria,No,chlorophyll,NA,All,Specimen collection,All,All,100,20,Unknown,Unknown,Anyone interested,Yes,training,in-person,Yes,training,in-person,0,Unknown,NA,http://www.annapolisriver.ca/riverguardians.php,Cornell Citizen Science Central,2012-05-02
