Program Name,Taxa,Taxa_clean,continent
Adams County Lake and Stream Monitoring ,"Plants, macroinvertebrates",NA,North America
Addison County River Watch Collaborative ,E. coli,NA,North America
Adirondack All-Taxa Biodiversity Inventory,"Protozoa, bird, plants, mammals, fish, amphibians, reptiles, lepidoptera, dragonflies, damselflies, aquatic invertebrates",all,North America
Adopt-a-Lake ,"Bacteria, algae",NA,North America
"Adopt-a-Shoreline Program, Invasive plant monitoring ",Aquatic plants,NA,North America
Adopt-a-Stream Mississippi ,Macroinvertebrates,NA,North America
Alabama Water Watch ,"Bacteria, macroinvertebrates",NA,North America
Alliance for the Chesapeake Bay (Rivertrends),"E. coli, algae, macroinvertebrates",NA,North America
American Kestrel Partnership,American kestral,bird,North America
American Oystercatcher Banding,American oystercatcher,bird,North America
American Pika Atlas,American pika,mammal,North America
Amphibian World of Bangladesh,Amphibians,amphibian,Asia
Amphibians and Reptils of Colombia,"Amphibians, reptiles",all,South America
Animals in Urbania,"Amphibians, reptiles, birds, mammals, mollusks, arachnids, insects",all,Global
Annapolis River Guardians,E. coli bacteria,NA,North America
Anne Arundel County Citizen Monitoring Program ,Macroinvertebrates,invertebrate,North America
Annual Loudoun Butterfly Count,Butterflies,invertebrate,North America
Annual Midwest Crane Count,Whooping and sandhill cranes,bird,North America
Anza Borrego Desert Wildlife,"Birds, mammals, insects, plants",all,North America
Aqua-Lab Project of the Okaloosa County Environmental Council ,Fecal coliform bacteria,NA,North America
Aquatic Invasive Species Monitoring,"New Zealand mudsnail, freshwater jellyfish, zebra mussels, Quagga mussels, rusty crayfish, spiny and fishhook waterflea, Chinese and banded mystery snails, hydrilla, purple loosestrife, curly-leaf pondweed, Eurasian water-milfoil ",NA,North America
Arizona Odonates,Odonates,invertebrate,North America
Arkansas Stream Team ,"Aquatic and terrestrial plants, macroinvertebrates ",all,North America
Armenian Citizen Herpetologists,Amphibians,amphibian,Europe
Ashland University Plants of North Central Ohio,Plants,plant,North America
Atlas for the Persian Toad Headed Agama,Persian toad headed agama,reptile,Europe
Audubon of Florida EagleWatch,Bald eagle,bird,North America
Badgermap,American badger,mammal,North America
Bald Eagle Watch,Bald eagle,bird,North America
Barcoding Life's Matrix,"Marine invertebrates, fish",NA,North America
Bat Monitoring Project,Bats,mammal,Global
Bay Area Ant Survey,Ants,invertebrate,North America
Beaver Creek Reserve BioBlitzes (3 different properties),"Mammals, reptiles, amphibians, birds, bats, worms, Butterflies, birds, terrestrial plants, aquatic plants, insects, fungi",all,North America
Bee Hunt,Bees,invertebrate,North America
BeeSpotter,Bees,invertebrate,North America
Behavior Watch,"Zoo animals, various",NA,North America
"Big Fork River Board, Citizens Advisory Group ",Bacteria,NA,North America
Bioblitz 2011 Saguaro National Park Arizona,Everything,all,North America
Bioblitz at Don Edward San Francisco Bay NWR,"Plants, fungus, mollusk, birds, fish, mammals, insects",all,North America
Bioblitz of Shelby Forest,"Birds, reptiles, mammals, insects, arachnids",all,North America
BioBlitz! Oklahoma,Everything,all,North America
BioBlitz: National Geographic,Everything,all,North America
Biodiversity of the Cache River Watershed,"Birds, reptiles, mammals, molluscs, fish, insects, arachnids, crustaceans, plants, fungus",all,North America
Bird Atlas 2007-11: Mapping Britain and Ireland's Birds,Birds,bird,Europe
Bird Ringing at the British Trust for Ornithology,Birds,bird,Europe
Birds in Forested Landscapes,Birds,bird,North America
Birds of Theodore Roosevelt Island Washington DC EOL Collection,Birds,bird,North America
BirdTrack,Birds,bird,Europe
