,species,IUCN status
1,Osmia bicornis,
2,Ruspolia nitidula,
3,Tettigonia viridissima,
4,Sciurus vulgaris,
5,Erinaceus europaeus,
6,Cyanocitta cristata,
7,Picoide pubescens,
8,Picoides villosus,
9,Poecile atricapillus,
10,Sitta canadensis,
11,Sitta carolinensis,
12,Carduelis sinica,
13,Corvus corone,
14,Corvus macrorhynchos,
15,Cyanopica cyana,
16,Dendocopos kizuki,
17,Hirundo rustica,
18,Hypsipetes amaurotis,
19,Lanius bucephalus,
20,Motacilla alba lugens,
21,Parus minor,
22,Parus varius,
23,Passer montanus,
24,Streptopelia orientalis,
25,Sturnus cineraceus,
26,Zosterops japonicus,
27,Aedes albopictus,
28,Aepyceros melampus,
29,Damaliscus lunatus jimela,
30,Equus quagga,
31,Eudorcas thomsonii,
32,Nanger granti,
33,Artamus cyanopterus,
34,Manorina melanophrys,
35,Myiagra cyanoleuca,
36,Pardalotus punctatus,
37,Pyrrholaemus sagittatus,
38,Todiramphus macleayii,
39,Apodemus flavicollis,
40,Apodemus sylvaticus,
41,Capreolus capreolus,
42,Clenthrionomys glareolus,
43,Glis glis,
44,Lepus europaeus,
45,Lutra lutra,
46,Martes martes,
47,Meles meles,
48,Microtus agrestis,
49,Muntiacus reevesi,
50,Mus domesticus,
51,Neomys fodiens,
52,Oryctolagus cuniculus,
53,Rattus norvegicus,
54,Sciurus carolinensis,
55,Sorex araneus,
56,Sorex minutus,
57,Talpa europaea,
58,Vulpes vulpes,
59,Aegithalos caudatus,
60,Alauda arvensis,
61,Alectoris rufa,
62,Carduelis carduelis,
63,Carduelis chloris,
64,Certhia brachydactyla,
65,Columba palumbus,
66,Coturnix coturnix,
67,Cuculus canorus,
68,Cyanistes caeruleus,
69,Dendrocopos major,
70,Erithacus rubecula,
71,Fringilla coelebs,
72,Garrulus glandarius,
73,Hippolais polyglotta,
74,Lullula arborea,
75,Luscinia megarhynchos,
76,Milvus migrans,
77,Parus major,
78,Passer domesticus,
79,Phasianus colchicus,
80,Phoenicurus ochruros,
81,Phylloscopus collybita,
82,Pica pica,
83,Pica viridis,
84,Sitta europaea,
85,Streptopelia decaoctourn:x-wiley:15410420:media:biom12431:biom12431-math-0135,
86,Streptopelia turtur,
87,Sylvia atricapilla,
88,Troglodytes troglodytes,
89,Turdus merula,
90,Turdus philomelos,
91,Turdus viscivorus,
92,Upupa epops,
93,Barbastellus barbastellus,
94,Eptesicus serotinus,
95,Myotis brandtii,
96,Myotis daubentonii,
97,Myotis mystacinus,
98,Myotis nattereri,
99,Nyctalus leisleri,
100,Nyctalus noctula,
101,Pipistrellus nathusii,
102,Pipistrellus pipistrellus,
103,Pipistrellus pygmaeus,
104,Plecotus auritus,
105,Sagittarius serpentarius,
106,Limulus polyphemus,
107,Anser anser,
108,Muscardinus avellanarius,
109,Bufo bufo,
110,Rana temporaria,
111,Linaria dalmatica,
112,Mecinus janthiniformis,
113,Cervus elaphus,
114,Dama dama,
115,Lepus timidus,
116,Calopteryx splendens,
117,Aglais io,
118,Aglais urticae,
119,Aohantopus hyperantus,
120,Argynnis aglaja,
121,Argynnis paphia,
122,Aricia agestis,
123,Celastrina argiolus,
124,Coenonympha pamphilus,
125,Erebia aethiops,
126,Gonepteryx rhamni,
127,Lasiommata megera,
128,Lycaena phlaeas,
129,Maniola jurtina,
130,Melanargia galathea,
131,Ochlodes sylvanus,
132,Pararge aegeria,
133,Pieris brassicae,
134,Pieris napi,
135,Pieris rapae,
136,Polygonia calbum,
137,Polyommatus icarus,
138,Pyronia tithonus,
139,Thymelicus lineola,
140,Thymelicus sylvestris,
141,Vanessa atalanta,
142,Vanessa cardui,
143,Acanthiza katherina,
144,Ailuroedus melanotis,
145,Alisterus scapularis,
146,Amblyornis newtonianus,
147,Arses kaupi,
148,Colluricincla boweri,
149,Cyclopsittadioph thalma,
150,Gerygone mouki,
151,Heteromyia scinereifrons,
152,Lichenostomus frenatus,
153,Machaerirhynchus flaviventer,
154,Oreoscopus gutturalis,
155,Orthonyx spaldingii,
156,Psophodes olivaceus,
157,Ptilonorhynchus violaceus,
158,Ptiloris victoriae,
159,Rhipiduraalbi scapa,
160,Scenopoeetes dentirostris,
161,Sericornis keri,
162,Tregella siacapito,
163,Xanthotis macleayanus,
164,Castor canadensis,
165,Castor fiber,
166,Bombus terrestris and B. lucorum,
167,Bombus hortorum,
168,Bombus hypnorum,
169,Bombus lapidarius,
170,Bombus pascuorum,
171,Bombus pratorum,
172,Megachilidae,
173,Agelaius tricolor,
174,Panthera pardus saxicolor,
175,Tetrao urogallus,
176,Tetrastes bonasia,
177,Amylocystis lapponica,
178,Fomitopsis rosea,
179,Phellinis ferrugineofuscus,
180,Phellinus chrysoloma,
181,Phellinus nigrolimitatus,
182,Phlebia centrifuga,
183,Clangula hyemalis,
184,Gavia immer,
185,Larus delawarensis,
186,Melanitta fusca,
187,Phalacrocorax auritus,
188,Podiceps auritus,
189,Podiceps grisegena,
190,Ammodramus henslowii,
191,Ammodramus savannarum,
192,Cistothorus platensis,
193,Dolichonyx oryziviorus,
194,Sturnella magna,
195,Polemaetus bellicosus,
196,Accipiter nisus,
197,Anthus trivialis,
198,Athene noctua,
199,Buteo buteo,
200,Carduelis cannabina,
201,Corvus monedula,
202,Emberiza citrinella,
203,Emberiza schoeniclus,
204,Falco subbuteo,
205,Falco tinnunculus,
206,Jynx torquilla,
207,Lanius collurio,
208,Miliaria calandra,
209,Motacilla flava,
210,Muscicapa striata,
211,Parus ater,
212,Parus caeruleus,
213,Phoenicurus phoenicurus,
214,Phylloscopus trochilus,
215,Prunella modularis,
216,Regulus regulus,
217,Saxicola rubetra,
218,Sturnus vulgaris,
219,Sylvia borin,
220,Sylvia communis,
221,Vanellus vanellus,
222,Columba oenas,
223,Corvus frugilegus,
224,Emberiza calandra,
225,Motacilla alba sp.,
226,Passir montanus,
227,Perdix perdix,
228,Pyrrhula pyrrhula,
229,Rallus aquaticus,
230,Anthus pratensis,
231,Cinclus cinclus,
232,Coloeus monedula,
233,Gallinago gallinago,
234,Motacilla alba,
235,Numenius arquata,
236,Oenanthe oenanthe,
237,Tringa totanus,
238,Trogolodytes trogolodytes,
239,Turdus torquatus,
240,Aeshna isoceles,
241,Brachytron pratense,
242,Coenagrion lunulatum,
243,Coenagrion pulchellum,
244,Cordulia aenea,
245,Lestes sponsa,
246,Leucorrhinia rubicunda,
247,Tetrao tetrix,
248,Trichoglossus haematodus,
249,Ammodramus bairdii,
250,Melospiza lincolnii,
251,Passerculus sandwichensis,
252,Peucaea cassinii,
253,Pooecetes gramineus,
254,Spizella breweri,
255,Zonotrichia leucophrys,
256,Contopus sordidulus,
257,Contopus virens,
258,Geothlypis formosa,
259,Hylocichla mustelina,
260,Pipilo erythrophthalmus,
261,Poecile rufescens,
262,Setophaga nigrescens,
263,Setophaga occidentalis,
264,Carpodacus mexicanus,
265,Setophaga caerulescens,
266,Setophaga striata,
267,Panthera leo,
268,Crinia parinsignifera,
269,Crinia signifiera,
270,Limnodynastes dumerilii,
271,Limnodynastes peronii,
272,Limnodynastes tasmaniensis,
273,Litoria peronii ,
274,Litoria verreauxii,
275,Uperoleia laevigata,
276,Casuarius casuarius johnsonii,
277,Alliaria petiolata,
278,Berberis thunbergii,
279,Celastrus orbiculatus ,
280,Cynanchum louiseae,
281,Elaeagnus umbellata,
282,Euonymus alatus,
283,Frangula alnus,
284,Lonicera morrowii,
285,Lythrum salicaria,
286,Microstegium vimineum,
287,Polygonum cuspidatum,
288,Rhamnus cathartica,
289,Rosa multiflora,
290,Polytelis swainsonii,
291,Dasycercus spp.,
292,Lagorchestes conspicillatus,
293,Macrotis lagotis,
294,Notoryctes typhlops,
295,Petrogale lateralis,
296,Trichosurus vulpecula vulpecula,
297,Cerambyx cerdo,
298,Lopinga achine,
299,Lucanus cervus,
300,Morimus asper/funereus,
301,Osmoderma eremita,
302,Parnassius apollo,
303,Rosalia alpina,
304,Saga pedo,
305,Zerynthia cassandra/polyxena,
306,Bombus lucorum,
307,Bombus terrestris,
308,Prognes subis,
309,Bombus bimaculatus,
310,Bombus borealis,
311,Bombus citrinus,
312,Bombus fernaldae,
313,Bombus fervidus,
314,Bombus griseocollis,
315,Bombus impatiens,
316,Bombus pensylvanicus,
317,Bombus perplexus,
318,Bombus rufocinctus,
319,Bombus sandersoni,
320,Bombus ternarius,
321,Bombus terricola,
322,Bombus vagans,
323,Agrostis exclamationis,
324,Apamea monoglypha,
325,Chloroclysta truncata,
326,Eurrhypara hortulata,
327,Hypena proboscidalis,
328,Idaea aversata,
329,Lacanobia oleracea,
330,Noctua comes Huebner,
331,Noctua pronuba ,
332,Opisthograptis luteolata,
333,Orthosia cerasi,
334,Orthosia gothica,
335,Xestia xanthographa,
336,Lynx lynx,
337,Myotis mystacinus/brandtii,
338,Rhinolophus ferrumequinum,
339,Rhinolophus hipposideros,
