internalTaxonId,scientificName,name,language,main
10767,Ictalurus australis,Bagre del Panuco,Spanish; Castilian,false
10767,Ictalurus australis,Panuco Catfish,English,true
10803,Iguanognathus werneri,Spatula-toothed Snake,English,true
11150,Lagocephalus gloveri,Brown-backed Toadfish,English,true
136680,Myotis alcathoe,Alcathoe Myotis,English,false
136680,Myotis alcathoe,Murciélago Ratonero Bigotudo Pequeño,Spanish; Castilian,false
136680,Myotis alcathoe,Murin d'Alcathoe,French,false
136680,Myotis alcathoe,Alcathoe Whiskered Bat,English,true
137751,Canthon columbianus,Escarabajo Coprófago,Spanish; Castilian,false
137751,Canthon columbianus,Dung Beetle,English,true
14886,Notropis imeldae,Sardinita de Rio Verde,Spanish; Castilian,true
14890,Notropis moralesi,Sardinita de Tepelmene,Spanish; Castilian,false
14890,Notropis moralesi,Papaloapan Chub,English,true
15199,Oligodon nikhili,Nikhil's Kukri Snake,English,true
15392,Opisthotropis spenceri,Smith's Mountain Keelback,English,false
15392,Opisthotropis spenceri,Spencer’s Stream Snake,English,false
155966,Anisus vorticulus,Little Whirlpool Ram's-horn Snail,English,false
155966,Anisus vorticulus,Ram's-horn Snail,English,false
155966,Anisus vorticulus,Lesser Ramshorn Snail,English,true
162015,Ophioglossum polyphyllum,Large Adder's-tongue,English,true
162497,Sepia lycidas,Kisslip Cuttlefish,English,false
162497,Sepia lycidas,Fa Gai Na,Chinese,false
162497,Sepia lycidas,Kaminari-Ika,Japanese,false
162497,Sepia lycidas,Mak Gung,Chinese,false
162497,Sepia lycidas,Mongouika,Japanese,false
162497,Sepia lycidas,Seiche baisers,French,false
162497,Sepia lycidas,Sepia labiada,Spanish; Castilian,false
162497,Sepia lycidas,Yi Muk Woo Chak,Chinese,false
162498,Sepia hierredda,Giant African Cuttlefish,English,false
162498,Sepia hierredda,Seiche géante Africaine,French,false
162498,Sepia hierredda,Sepia gigante Africana,Spanish; Castilian,false
162499,Sepioloidea lineolata,Striped Pyjama Squid,English,true
162500,Sepiella inermis,Spineless Cuttlefish,English,false
162500,Sepiella inermis,Sepia inerme,Spanish; Castilian,false
162500,Sepiella inermis,Sépia inerme,French,false
162502,Stoloteuthis leucoptera,Leucoptera Bobtail Squid,English,false
162502,Stoloteuthis leucoptera,Globito leucóptero,Spanish; Castilian,false
162502,Stoloteuthis leucoptera,Sépiole leucoptére,French,false
162504,Sepia pharaonis,Pharaoh Cuttlefish,English,false
162504,Sepia pharaonis,Foo Baan Woo Chack,Chinese,false
162504,Sepia pharaonis,Mak Mo,Chinese,false
162504,Sepia pharaonis,Mongouika,Japanese,false
162504,Sepia pharaonis,Seiche pharaon,French,false
162504,Sepia pharaonis,Sepia faraón,Spanish; Castilian,false
162504,Sepia pharaonis,Torafu-Kouika,Japanese,false
162505,Sepia latimanus,Broadclub Cuttlefish,English,false
162505,Sepia latimanus,Kobushime,Japanese,false
162505,Sepia latimanus,Kubushime,Japanese,false
162505,Sepia latimanus,Seiche grandes mains,French,false
162505,Sepia latimanus,Sepia mazuda,Spanish; Castilian,false
162505,Sepia latimanus,Sotong-Besar,Indonesian,false
162506,Sepia murrayi,Frog Cuttlefish,English,false
162506,Sepia murrayi,Seiche grenouille,French,false
162506,Sepia murrayi,Sepia rana,Spanish; Castilian,false
162512,Sepia longipes,Longarm Cuttlefish,English,false
162512,Sepia longipes,Seiche pieuvre,French,false
162512,Sepia longipes,Sepia brazolargo,Spanish; Castilian,false
162512,Sepia longipes,Tenaga-Kouika,Japanese,false
162513,Sepia madokai,Madokai's Cuttlefish,English,false
162513,Sepia madokai,Hari-Ika,Japanese,false
162513,Sepia madokai,Kouika-Modoki,Japanese,false
162513,Sepia madokai,Seiche Madokai,French,false
162513,Sepia madokai,Sepia Madokai,Spanish; Castilian,false
162518,Austrorossia bipapillata,Big-eyed Bobtail Squid,English,false
162518,Austrorossia bipapillata,Globito ojos grandes,Spanish; Castilian,false
162518,Austrorossia bipapillata,Sépiole á gros yeux,French,false
162521,Sepiolina nipponensis,Japanese Bobtail Squid,English,false
162521,Sepiolina nipponensis,Sépiole Japonaise,French,false
162521,Sepiolina nipponensis,Sepiolina Japonesa,Spanish; Castilian,false
162523,Rossia macrosoma,Stout Bobtail Squid,English,false
162523,Rossia macrosoma,Babbunedda,Italian,false
162523,Rossia macrosoma,Cape e Chiuove,Italian,false
162523,Rossia macrosoma,Capo di Chiodo,Italian,false
162523,Rossia macrosoma,Choco,Spanish; Castilian,false
162523,Rossia macrosoma,Chopito,Spanish; Castilian,false
162523,Rossia macrosoma,Globito robusto,Spanish; Castilian,false
162523,Rossia macrosoma,Purpo Seccia,Italian,false
162523,Rossia macrosoma,Sépiole melon,French,false
162523,Rossia macrosoma,Seppiola Grossa,Italian,false
