assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
498370,10767,Ictalurus australis,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ICTALURIDAE,Ictalurus,australis,,,,"(Meek, 1904)",Data Deficient,,3.1,Decreasing,Global
498726,10803,Iguanognathus werneri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Iguanognathus,werneri,,,,"Boulenger, 1898",Data Deficient,,3.1,,Global
500780,11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Lagocephalus,gloveri,,,,"Abe &amp; Tabeta, 1983",Data Deficient,,3.1,Decreasing,Global
518740,136680,Myotis alcathoe,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,alcathoe,,,,"von Helversen &amp; Heller, 2001",Data Deficient,,3.1,Unknown,Global & Europe
519366,137066,Catharsius rhinoceros,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Catharsius,rhinoceros,,,,"(Klug, 1855)",Data Deficient,,3.1,Unknown,Global
519463,137072,Copris victorini,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Copris,victorini,,,,"Boheman, 1857",Data Deficient,,3.1,Unknown,Global
519491,137074,Paraphytus africanus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Paraphytus,africanus,,,,"Boucomont, 1923",Data Deficient,,3.1,Unknown,Global
519505,137075,Coptorhina nitefacta,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Coptorhina,nitefacta,,,,"Gillet, 1932",Data Deficient,,3.1,Unknown,Global
519642,137080,Cheironitis indicus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Cheironitis,indicus,,,,"Lansberge, 1875",Data Deficient,,3.1,Unknown,Global
519714,137086,Canthidium calidum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,calidum,,,,"Harold, 1880",Data Deficient,,3.1,Unknown,Global
