internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
10767,Ictalurus australis,"Amiurus australis Meek, 1904",Amiurus,australis,"Meek, 1904",,
137066,Catharsius rhinoceros,"Copris rhinoceros Klug, 1855",Copris,rhinoceros,"Klug, 1855",,
137095,Canthon divinator,"Coprobius divinator Gistel, 1857",Coprobius,divinator,"Gistel, 1857",,
137106,Anisocanthon pygmaeus,"Deltochilum pygmaeum Gillet, 1911",Deltochilum,pygmaeum,"Gillet, 1911",,
137106,Anisocanthon pygmaeus,"Canthon dromedarius Schmidt, 1922",Canthon,dromedarius,"Schmidt, 1922",,
137108,Ateuchus euchalceus,"Choeridium euchalceum Balthasar, 1939",Choeridium,euchalceum,"Balthasar, 1939",,
137149,Sulcophanaeus actaeon,"Phanaeus actaeon Erichson, 1847",Phanaeus,actaeon,"Erichson, 1847",,
137185,Demarziella storeyi,"Notopedaria storeyi Matthews, 1976",Notopedaria,storeyi,"Matthews, 1976",,
137195,Canthon simulans,"Glaphyrocanthon simulans Martinez, 1950",Glaphyrocanthon,simulans,"Martinez, 1950",,
137213,Demarziella eungella,"Notopedaria eungella Matthews, 1976",Notopedaria,eungella,"Matthews, 1976",,
137222,Canthidium erythropterum,"Choeridium erythropterum Lucas, 1857",Choeridium,erythropterum,"Lucas, 1857",,
137236,Dichotomius dahli,"Pinotus dahli Landin, 1956",Pinotus,dahli,"Landin, 1956",,
137295,Onthophagus vilis,"Onthophagus microtrichius Lea, 1923",Onthophagus,microtrichius,"Lea, 1923",,
137314,Parascatonomus diversiformis,"Onthophagus diversiformis Boucomont, 1914",Onthophagus,diversiformis,"Boucomont, 1914",,
137323,Copris amabilis,"Copris amabile Ferreira, 1958",Copris,amabile,"Ferreira, 1958",,
137381,Lepanus pisoniae,"Panelus pisoniae Lea, 1923",Panelus,pisoniae,"Lea, 1923",,
137459,Onitis nemoralis,Onitis sylvanus Gillet,Onitis,sylvanus,Gillet,,
137473,Dichotomius horridus,"Pinotus horridus Felsche, 1911",Pinotus,horridus,"Felsche, 1911",,
137496,Anomiopus pictus,"Onthocharis pictus Harold, 1862",Onthocharis,pictus,"Harold, 1862",,
137562,Scarabaeolus canaliculatus,Scarabaeus reichei Waterhouse 1890,Scarabaeus,reichei,Waterhouse 1890,,
137562,Scarabaeolus canaliculatus,"Scarabaeus canaliculatus Fairmaire, 1888",Scarabaeus,canaliculatus,"Fairmaire, 1888",,
137564,Copris wiesei,"Copris schoutedeni Boucomont, 1928",Copris,schoutedeni,"Boucomont, 1928",,
137585,Canthidium flavicorne,"Choeridium flavicorne Blanchard, 1846",Choeridium,flavicorne,"Blanchard, 1846",,
137617,Anomiopus laetus,"Onthocharis laetus Waterhouse, 1891",Onthocharis,laetus,"Waterhouse, 1891",,
137652,Scarabaeus rixosus,Ateuchus modestus Boheman 1860,Ateuchus,modestus,Boheman 1860,,
137652,Scarabaeus rixosus,Scarabaeus rostratus  Péringuey 1888,Scarabaeus,rostratus ,Péringuey 1888,,
137688,Hyalonthophagus pseudovirens,"Onthophagus pseudovirens D'Orbigny, 1913",Onthophagus,pseudovirens,"D'Orbigny, 1913",,
137725,Copris ritsemae,"Copris victorini Péringuey, 1901 ",Copris,victorini,"Péringuey, 1901 ",,
137751,Canthon columbianus,"Geocanthon columbianus (Schmidt, 1920)",Geocanthon,columbianus,"(Schmidt, 1920)",,
137761,Anomiopus lauropalui,"Scatonomus lauropalui Vulcano &amp; Pereira, 1973",Scatonomus,lauropalui,"Vulcano &amp; Pereira, 1973",,
