Countries/Regions	Record_Count	%of296,871
USA	94569	31.855
CANADA	22071	7.435
AUSTRALIA	19989	6.733
ENGLAND	19403	6.536
PEOPLES R CHINA	19022	6.407
UK	14891	5.016
BRAZIL	14507	4.887
GERMANY	14095	4.748
FRANCE	13671	4.605
SPAIN	13189	4.443
ITALY	9127	3.074
JAPAN	8984	3.026
INDIA	8840	2.978
CHINA	7394	2.491
UNITED KINGDOM	6925	2.333
SOUTH AFRICA	6843	2.305
NETHERLANDS	6127	2.064
MEXICO	5810	1.957
SWEDEN	5808	1.956
SWITZERLAND	5361	1.806
NEW ZEALAND	5346	1.801
NORWAY	5209	1.755
SCOTLAND	5101	1.718
POLAND	4336	1.461
FINLAND	4307	1.451
BELGIUM	4255	1.433
PORTUGAL	4107	1.383
CZECH REPUBLIC	3894	1.312
ARGENTINA	3763	1.268
DENMARK	3465	1.167
TURKEY	2824	0.951
AUSTRIA	2613	0.880
RUSSIA	2565	0.864
SOUTH KOREA	2485	0.837
IRAN	2073	0.698
CHILE	2057	0.693
ISRAEL	2009	0.677
MALAYSIA	1913	0.644
HUNGARY	1834	0.618
GREECE	1813	0.611
TAIWAN	1693	0.570
WALES	1692	0.570
KENYA	1651	0.556
THAILAND	1584	0.534
INDONESIA	1547	0.521
IRELAND	1364	0.459
COLOMBIA	1309	0.441
PAKISTAN	1210	0.408
EGYPT	1125	0.379
NIGERIA	1110	0.374
PHILIPPINES	1003	0.338
SLOVAKIA	914	0.308
VIETNAM	850	0.286
ROMANIA	830	0.280
SINGAPORE	826	0.278
CROATIA	813	0.274
SLOVENIA	757	0.255
SERBIA	754	0.254
TANZANIA	742	0.250
COSTA RICA	731	0.246
ESTONIA	730	0.246
ECUADOR	674	0.227
SAUDI ARABIA	632	0.213
FED REP GER	593	0.200
PANAMA	591	0.199
BULGARIA	590	0.199
ETHIOPIA	589	0.198
WEST GERMANY	584	0.197
BANGLADESH	573	0.193
PERU	554	0.187
UGANDA	537	0.181
NORTH IRELAND	517	0.174
CAMEROON	494	0.166
TUNISIA	494	0.166
VENEZUELA	491	0.165
