Organisms	Record_Count	%of296,871
Aves	8208	2.765
Animalia	8082	2.722
Pisces	5299	1.785
Mammalia	3550	1.196
Insecta	2657	0.895
Invertebrata	2037	0.686
Macroinvertebrata	1583	0.533
Arthropoda	1297	0.437
Amphibia	1272	0.428
Nematoda	1116	0.376
Coleoptera	1040	0.350
Reptilia	929	0.313
Araneae	925	0.312
Formicidae	902	0.304
Carabidae	894	0.301
Oncorhynchus Mykiss	889	0.299
Salmo Trutta	798	0.269
Chiroptera	797	0.268
Salmo Salar	723	0.244
Vertebrata	723	0.244
Lepidoptera	706	0.238
Papilionoidea	680	0.229
Hymenoptera	668	0.225
Canis Lupus	602	0.203
Oreochromis Niloticus	598	0.201
Odocoileus Virginianus	577	0.194
Cervus Elaphus	567	0.191
Cyprinus Carpio	544	0.183
Oncorhynchus Tshawytscha	498	0.168
Micropterus Salmoides	481	0.162
Ictalurus Punctatus	478	0.161
Vulpes Vulpes	464	0.156
Phytomastigophorea	461	0.155
Apoidea	456	0.154
Rodentia	455	0.153
Salvelinus Fontinalis	455	0.153
Sus Scrofa	455	0.153
Acari	441	0.149
Anura	431	0.145
Culicidae	426	0.143
Diptera	404	0.136
Ursus Arctos	398	0.134
Crustacea	383	0.129
Dreissena Polymorpha	362	0.122
Loxodonta Africana	354	0.119
Gastropoda	353	0.119
Chironomidae	351	0.118
Apis Mellifera	335	0.113
Passeriformes	334	0.113
Carnivora	331	0.111
Esox Lucius	331	0.111
Salvelinus Namaycush	330	0.111
Protozoa	327	0.110
Daphnia Magna	325	0.109
Lymantria Dispar	323	0.109
Cladocera	322	0.108
Alces Alces	320	0.108
Capreolus Capreolus	320	0.108
Aphidoidea	316	0.106
Perca Fluviatilis	315	0.106
Rotifera	313	0.105
Perca Flavescens	303	0.102
Bemisia Tabaci	297	0.100
Odonata	296	0.100
Salmonidae	296	0.100
Oncorhynchus Kisutch	295	0.099
Lepomis Macrochirus	290	0.098
Felis Catus	288	0.097
Tetranychus Urticae	288	0.097
Canis Latrans	284	0.096
Anas Platyrhynchos	281	0.095
Collembola	277	0.093
Mollusca	277	0.093
Pimephales Promelas	274	0.092
Copepoda	272	0.092
Megadrili	272	0.092
Ungulata	271	0.091
Myzus Persicae	265	0.089
Primates	263	0.089
Anguilla Anguilla	262	0.088
Cestoda	256	0.086
Puma Concolor	256	0.086
Oryctolagus Cuniculus	255	0.086
Clarias Gariepinus	249	0.084
Dicentrarchus Labrax	249	0.084
Solenopsis Invicta	249	0.084
Coccinellidae	245	0.083
Salvelinus Alpinus	242	0.082
Rutilus Rutilus	237	0.080
Panthera Leo	230	0.077
Litopenaeus Vannamei	229	0.077
Ursus Americanus	229	0.077
Trichoptera	228	0.077
Rattus Rattus	226	0.076
Digenea	224	0.075
Odocoileus Hemionus	223	0.075
Oncorhynchus Nerka	223	0.075
Syrphidae	220	0.074
Falconiformes	218	0.073
Procambarus Clarkii	217	0.073
